pleiades_id,title,longitude,latitude,location_precision,feature_types,time_periods,sources,in_window_bins
385056,Pont-Saint-Martin (bridge),7.80009985,45.5992967,precise,bridge,"roman,late-antique",pleiades_transport,0.055
385057,Unnamed bridge at Bard,7.744271,45.61178815,precise,bridge,"roman,late-antique,mediaeval-byzantine",pleiades_transport,0.055
385058,Unnamed bridge,8.833833,44.757596,precise,bridge,"roman,late-antique",pleiades_transport,0.055
385059,Untitled,9.25,45.75,rough,bridge,"roman,late-antique",pleiades_transport,0.055
385060,Untitled,9.25,45.75,rough,bridge,"roman,late-antique",pleiades_transport,0.055
385062,Untitled,9.25,45.25,rough,bridge,"roman,late-antique",pleiades_transport,0.055
385063,Untitled,8.998533,44.999293,precise,bridge,"roman,late-antique",pleiades_transport,0.055
385064,Untitled,9.75,45.75,rough,bridge,"roman,late-antique",pleiades_transport,0.055
385065,Unnamed bridge,9.767245,45.009302,precise,bridge,"roman,late-antique",pleiades_transport,0.055
385066,Untitled,10.25,44.75,rough,bridge,"roman,late-antique",pleiades_transport,0.055
385067,Enza Roman Bridge,10.42671335,44.7699767,precise,bridge,"roman,late-antique,twenty-first-ce",pleiades_transport,0.055
385807,Untitled,7.25,44.75,rough,centuriation,"roman,late-antique",pleiades_production,0.055
385808,Untitled,7.75,45.25,rough,centuriation,"roman,late-antique",pleiades_production,0.055
385809,Untitled,7.75,45.25,rough,centuriation,"roman,late-antique",pleiades_production,0.055
385810,Untitled,7.75,45.25,rough,centuriation,"roman,late-antique",pleiades_production,0.055
385811,Untitled,7.75,45.25,rough,centuriation,"roman,late-antique",pleiades_production,0.055
385812,Untitled,7.75,45.25,rough,centuriation,"roman,late-antique",pleiades_production,0.055
385814,Untitled,7.75,44.75,rough,centuriation,"roman,late-antique",pleiades_production,0.055
385815,Untitled,7.75,44.75,rough,centuriation,"roman,late-antique",pleiades_production,0.055
385816,Untitled,7.75,44.25,rough,centuriation,"roman,late-antique",pleiades_production,0.055
385818,Untitled,8.75,45.75,rough,centuriation,"roman,late-antique",pleiades_production,0.055
385819,Untitled,8.75,45.25,rough,centuriation,"roman,late-antique",pleiades_production,0.055
385822,Untitled,8.75,44.75,rough,centuriation,"roman,late-antique",pleiades_production,0.055
385823,Untitled,9.25,45.75,rough,centuriation,"roman,late-antique",pleiades_production,0.055
385824,Untitled,9.25,45.75,rough,centuriation,"roman,late-antique",pleiades_production,0.055
385825,Untitled,9.25,45.25,rough,centuriation,"roman,late-antique",pleiades_production,0.055
385826,Untitled,9.25,45.25,rough,centuriation,"roman,late-antique",pleiades_production,0.055
385827,Untitled,9.25,45.25,rough,centuriation,"roman,late-antique",pleiades_production,0.055
385828,Untitled,9.25,45.25,rough,centuriation,"roman,late-antique",pleiades_production,0.055
385829,Unnamed centuriation (Placentia),9.25,45.25,rough,centuriation,"roman,late-antique",pleiades_production,0.055
